frame_time,MAX Blue,MAX Green,MAX Orange,MAX Red,MAX Yellow,Streetcar NS,Streetcar A,Streetcar B,Commuter Rail,Bus,smooth_MAX Blue,smooth_MAX Green,smooth_MAX Orange,smooth_MAX Red,smooth_MAX Yellow,smooth_Streetcar NS,smooth_Streetcar A,smooth_Streetcar B,smooth_Commuter Rail,smooth_Bus
2025-09-10 07:07:40,15.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,271.0,13.05,6.983333333333333,3.9166666666666665,9.35,2.95,4.5,2.816666666666667,3.0,2.0,266.01666666666665
2025-09-10 07:07:50,15.0,6.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,271.0,13.083333333333334,6.966666666666667,3.8833333333333333,9.333333333333334,2.966666666666667,4.516666666666667,2.816666666666667,3.0,2.0,266.15
2025-09-10 07:08:00,15.0,6.0,4.0,8.0,4.0,5.0,3.0,3.0,2.0,279.0,13.116666666666667,6.95,3.8666666666666667,9.3,2.9833333333333334,4.533333333333333,2.816666666666667,3.0,2.0,266.3333333333333
2025-09-10 07:08:10,15.0,6.0,4.0,8.0,4.0,5.0,3.0,3.0,2.0,275.0,13.15,6.933333333333334,3.85,9.266666666666667,3.0166666666666666,4.55,2.816666666666667,3.0,2.0,266.55
2025-09-10 07:08:20,15.0,6.0,4.0,8.0,4.0,5.0,3.0,3.0,2.0,276.0,13.183333333333334,6.916666666666667,3.8333333333333335,9.233333333333333,3.05,4.566666666666666,2.816666666666667,3.0,2.0,266.78333333333336
2025-09-10 07:08:30,15.0,6.0,4.0,8.0,4.0,5.0,3.0,3.0,2.0,275.0,13.216666666666667,6.9,3.816666666666667,9.2,3.0833333333333335,4.583333333333333,2.816666666666667,3.0,2.0,267.01666666666665
2025-09-10 07:08:40,15.0,6.0,4.0,8.0,4.0,5.0,3.0,3.0,2.0,274.0,13.266666666666667,6.883333333333334,3.8,9.166666666666666,3.1166666666666667,4.6,2.816666666666667,3.0,2.0,267.23333333333335
2025-09-10 07:08:50,16.0,6.0,4.0,7.0,4.0,5.0,3.0,3.0,2.0,274.0,13.333333333333334,6.866666666666666,3.783333333333333,9.116666666666667,3.15,4.616666666666666,2.816666666666667,3.0,2.0,267.45
2025-09-10 07:09:00,16.0,6.0,4.0,6.0,5.0,5.0,3.0,3.0,2.0,277.0,13.4,6.85,3.7666666666666666,9.05,3.2,4.633333333333334,2.816666666666667,3.0,2.0,267.6166666666667
2025-09-10 07:09:10,16.0,6.0,4.0,6.0,5.0,4.0,3.0,3.0,2.0,275.0,13.466666666666667,6.833333333333333,3.75,8.983333333333333,3.25,4.633333333333334,2.816666666666667,3.0,2.0,267.81666666666666
