frame_time,MAX,Streetcar,Commuter Rail,Bus,smooth_MAX,smooth_Streetcar,smooth_Commuter Rail,smooth_Bus
2025-09-10 06:10:50,25.0,3.0,2.0,125.0,18.966666666666665,2.4166666666666665,1.3,106.18333333333334
2025-09-10 06:11:00,26.0,3.0,2.0,127.0,19.166666666666668,2.433333333333333,1.3166666666666667,106.8
2025-09-10 06:11:10,26.0,3.0,2.0,126.0,19.366666666666667,2.45,1.3333333333333333,107.4
2025-09-10 06:11:20,27.0,3.0,2.0,126.0,19.583333333333332,2.466666666666667,1.35,108.0
2025-09-10 06:11:30,27.0,3.0,2.0,126.0,19.8,2.4833333333333334,1.3666666666666667,108.6
2025-09-10 06:11:40,28.0,3.0,2.0,126.0,20.033333333333335,2.5,1.3833333333333333,109.2
2025-09-10 06:11:50,28.0,3.0,2.0,126.0,20.266666666666666,2.5166666666666666,1.4,109.78333333333333
2025-09-10 06:12:00,28.0,3.0,2.0,134.0,20.5,2.533333333333333,1.4166666666666667,110.46666666666667
2025-09-10 06:12:10,28.0,3.0,2.0,134.0,20.733333333333334,2.55,1.4333333333333333,111.15
2025-09-10 06:12:20,28.0,3.0,2.0,134.0,20.95,2.566666666666667,1.45,111.83333333333333
2025-09-10 06:12:30,28.0,3.0,2.0,134.0,21.166666666666668,2.5833333333333335,1.4666666666666666,112.51666666666667
2025-09-10 06:12:40,28.0,3.0,2.0,134.0,21.383333333333333,2.6,1.4833333333333334,113.2
2025-09-10 06:12:50,28.0,3.0,2.0,134.0,21.6,2.6166666666666667,1.5,113.88333333333334
2025-09-10 06:13:00,29.0,3.0,2.0,137.0,21.816666666666666,2.6333333333333333,1.5166666666666666,114.56666666666666
2025-09-10 06:13:10,29.0,3.0,2.0,137.0,22.033333333333335,2.65,1.5333333333333334,115.25
2025-09-10 06:13:20,29.0,3.0,2.0,137.0,22.25,2.6666666666666665,1.55,115.93333333333334
2025-09-10 06:13:30,29.0,3.0,2.0,137.0,22.466666666666665,2.683333333333333,1.5666666666666667,116.61666666666666
2025-09-10 06:13:40,29.0,3.0,2.0,137.0,22.683333333333334,2.7,1.5833333333333333,117.3
2025-09-10 06:13:50,29.0,3.0,2.0,138.0,22.9,2.716666666666667,1.6,118.0
2025-09-10 06:14:00,31.0,3.0,2.0,140.0,23.15,2.7333333333333334,1.6166666666666667,118.66666666666667
2025-09-10 06:14:10,31.0,3.0,2.0,140.0,23.4,2.75,1.6333333333333333,119.33333333333333
2025-09-10 06:14:20,31.0,3.0,2.0,140.0,23.65,2.7666666666666666,1.65,120.0
