shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
1310,7,48.575562,-122.892830
1310,8,48.572300,-122.897980
1310,9,48.560989,-122.907761
1310,10,48.543381,-122.941017
1310,11,48.541729,-122.947067
1310,12,48.541222,-122.950760
1310,13,48.541222,-122.955399
1310,14,48.543205,-122.968941
1310,15,48.544460,-122.986473
1310,16,48.544430,-122.993813
1310,17,48.541481,-123.007751
1310,18,48.539890,-123.010033
1310,19,48.537979,-123.011139
1310,20,48.535123,-123.014520
1315,0,48.570710,-122.883440
1315,1,48.575039,-122.880661
1315,2,48.579296,-122.884186
1315,3,48.583099,-122.891304
1315,4,48.586281,-122.901009
1315,5,48.588436,-122.911652
1315,6,48.589291,-122.918861
1315,7,48.589348,-122.933708
1315,8,48.597660,-122.943880
1318,0,48.570710,-122.883440
1318,1,48.573353,-122.881203
1318,2,48.575256,-122.880768
1318,3,48.578236,-122.883171
1318,4,48.581104,-122.887291
1318,5,48.584850,-122.895920
1318,6,48.587208,-122.904762
1318,7,48.589195,-122.916862
1318,8,48.588654,-122.924759
1318,9,48.587349,-122.927635
1318,10,48.584568,-122.929695
145,0,47.948785,-122.304027
145,1,47.951443,-122.306374
145,2,47.954834,-122.309204
145,3,47.957478,-122.312721
145,4,47.959316,-122.315987
145,5,47.968800,-122.339073
145,6,47.973110,-122.346970
145,7,47.975108,-122.349821
151,0,48.597660,-122.943880
151,1,48.589027,-122.933151
151,2,48.588131,-122.909889
151,3,48.571323,-122.857018
151,4,48.555252,-122.840965
151,5,48.541328,-122.834190
151,6,48.534225,-122.827492
151,7,48.529282,-122.816849
151,8,48.527519,-122.807152
151,9,48.529049,-122.778053
151,10,48.522682,-122.707329
151,11,48.518589,-122.683296
151,12,48.510612,-122.677086
151,13,48.508408,-122.676826
151,14,48.506730,-122.678140
1510,0,48.597660,-122.943880
1510,1,48.596375,-122.943558
1510,2,48.595268,-122.944801
1510,3,48.594418,-122.947632
1510,4,48.594219,-122.951149
1510,5,48.596802,-122.962608
1510,6,48.596573,-122.968063
1510,7,48.594627,-122.974731
1510,8,48.594059,-122.985031
1510,9,48.593433,-122.987526
1510,10,48.590424,-122.995079
1510,11,48.589912,-123.006836
1510,12,48.592072,-123.008896
1510,13,48.593433,-123.013443
1510,14,48.593662,-123.016365
1510,15,48.592922,-123.020828
1510,16,48.590313,-123.028122
1510,17,48.588039,-123.030785
1510,18,48.582989,-123.030609
1510,19,48.576176,-123.026405
1510,20,48.558453,-123.001854
1510,21,48.555271,-123.001511
1510,22,48.548908,-123.001854
1510,23,48.546635,-123.002800
1510,24,48.544930,-123.004776
1510,25,48.542145,-123.011986
1510,26,48.535123,-123.014520
1513,0,48.597660,-122.943880
1513,1,48.589348,-122.933708
1513,2,48.589291,-122.918861
1513,3,48.588436,-122.911652
1513,4,48.586281,-122.901009
1513,5,48.583099,-122.891304
1513,6,48.579296,-122.884186
1513,7,48.575039,-122.880661
1513,8,48.570710,-122.883440
1518,0,48.597660,-122.943880
1518,1,48.586826,-122.931534
1518,2,48.585510,-122.930077
1518,3,48.584568,-122.929695
1621,0,47.305523,-122.514273
1621,1,47.332058,-122.507881
1621,2,47.332969,-122.506806
1711,0,48.112628,-122.760506
1711,1,48.110203,-122.757156
1711,2,48.109859,-122.754150
1711,3,48.111980,-122.748398
1711,4,48.114731,-122.744537
1711,5,48.119602,-122.740677
1711,6,48.121838,-122.739731
1711,7,48.123955,-122.737495
1711,8,48.152252,-122.680077
1711,9,48.154598,-122.673897
1711,10,48.155800,-122.672607
1711,11,48.159204,-122.672815
181,0,48.584317,-122.929690
181,1,48.586620,-122.928642
181,2,48.588020,-122.926414
181,3,48.588947,-122.923576
181,4,48.589413,-122.919456
181,5,48.589119,-122.915085
181,6,48.586849,-122.902809
181,7,48.583588,-122.891350
181,8,48.572231,-122.857018
181,9,48.555874,-122.841225
181,10,48.544113,-122.835220
181,11,48.534058,-122.827408
181,12,48.527405,-122.807152
181,13,48.529049,-122.781487
181,14,48.527687,-122.756081
181,15,48.523136,-122.719688
181,16,48.521324,-122.695053
181,17,48.520130,-122.688530
181,18,48.517811,-122.683487
181,19,48.515564,-122.680229
181,20,48.511299,-122.677437
181,21,48.508682,-122.676880
181,22,48.506730,-122.678140
1810,0,48.584564,-122.929688
1810,1,48.585339,-122.929993
1810,2,48.592628,-122.938194
1810,3,48.594444,-122.951881
1810,4,48.596771,-122.962654
1810,5,48.596573,-122.967972
1810,6,48.594616,-122.974670
1810,7,48.593906,-122.984200
1810,8,48.593338,-122.987373
1810,9,48.590443,-122.994843
1810,10,48.589706,-123.006943
1810,11,48.592033,-123.008873
1810,12,48.593510,-123.013680
1810,13,48.593651,-123.016342
1810,14,48.592770,-123.021149
1810,15,48.590275,-123.028015
1810,16,48.588058,-123.030548
1810,17,48.583202,-123.030586
1810,18,48.578011,-123.028053
1810,19,48.575794,-123.025955
1810,20,48.559692,-123.003082
1810,21,48.558498,-123.001747
1810,22,48.556824,-123.001190
1810,23,48.550148,-123.001579
1810,24,48.546738,-123.002563
1810,25,48.544865,-123.004623
1810,26,48.543076,-123.009476
1810,27,48.542107,-123.011749
1810,28,48.540714,-123.012604
1810,29,48.535123,-123.014520
1813,0,48.584568,-122.929695
1813,1,48.587349,-122.927635
1813,2,48.588654,-122.924759
1813,3,48.589195,-122.916862
1813,4,48.587208,-122.904762
1813,5,48.584850,-122.895920
1813,6,48.581104,-122.887291
1813,7,48.578236,-122.883171
1813,8,48.575256,-122.880768
1813,9,48.573353,-122.881203
1813,10,48.570710,-122.883440
1815,0,48.584568,-122.929695
1815,1,48.585510,-122.930077
1815,2,48.586826,-122.931534
1815,3,48.597660,-122.943880
191,0,48.643790,-123.397644
191,1,48.643089,-123.396635
191,2,48.642933,-123.384445
191,3,48.653820,-123.355606
191,4,48.656544,-123.347542
191,5,48.656769,-123.340157
191,6,48.654953,-123.329514
